channel_id,channel_name,category,subscribers,total_views,total_videos,recent_video_count,avg_recent_views,median_recent_views,avg_duration_seconds,posting_interval_days,avg_engagement_rate,view_per_subscriber,latest_video_title,latest_video_url,latest_video_views,latest_video_published_at
UCsPMNatXCwqyUuJilBT73jg,CaylusBlox,Trending,7400000,2297574753,612,8,1668544.12,1255116.0,1504.25,0.44,0.0186,310.4831,Taco Tuesday ADMIN ABUSE + New Brainrot!,https://www.youtube.com/watch?v=ydPLDySHxuQ,1555085,2025-12-09T23:47:10+00:00
UCQJWtTnAHhEG5w4uN0udnUQ,Prime Video,Trending,7330000,5503431556,7857,8,48228.12,30262.0,1523.88,0.17,0.0502,750.8092,Leader of the group project. | Hazbin Hotel | Prime Video,https://www.youtube.com/watch?v=io-MaqBWSUk,26234,2025-12-09T22:00:50+00:00
UCOpcACMWblDls9Z6GERVi1A,Screen Junkies,Trending,6770000,3060302062,1558,8,161855.88,39502.5,210.62,2.86,0.03,452.0387,Honest Trailers | Stranger Things S5 (Part 1),https://www.youtube.com/watch?v=sDTjlkt79O4,205105,2025-12-09T18:01:08+00:00
UCFctpiB_Hnlk3ejWfHqSm6Q,The Official Pokémon YouTube channel,Trending,6700000,2541797102,3757,8,138414.88,55059.0,2989.12,1.0,0.0378,379.3727,Pokémon Legends: Z-A – Mega Dimension | Official Launch Trailer,https://www.youtube.com/watch?v=VnzCyRyPugM,533782,2025-12-09T14:02:40+00:00
UCYn6CZe5UGIyPe9WJb0pTrg,Top5Gaming,Trending,6500000,3284532900,2155,8,420779.38,284780.5,237.75,0.72,0.0273,505.3128,Our FIRST CROSSOVER In Fortnite WINTERFEST!,https://www.youtube.com/watch?v=RKRGZRCz3b8,202472,2025-12-09T22:14:12+00:00
UCjiXtODGCCulmhwypZAWSag,Jynxzi,Trending,5760000,1955048549,1784,8,328835.88,294107.5,4758.88,0.3,0.0297,339.4182,Solo Q Ranked,https://www.youtube.com/watch?v=aImEW5j78nc,285635,2025-12-10T02:51:36+00:00
UCzzF1kdBgwv5RB6rbB6kVSA,Tyler & Snowi,Trending,5320000,2681991381,1161,8,1033107.38,1046305.0,2645.5,1.01,0.0319,504.1337,I DONT WANNA do my CHORES..,https://www.youtube.com/watch?v=DNfZY-8fW28,429654,2025-12-10T01:04:00+00:00
UC7c8wbA9yQjzxkj2uyrHrkg,steak,Trending,4930000,1587851596,2490,8,987280.5,356166.5,1622.62,0.32,0.0332,322.0794,THANK YOU SAMMY..,https://www.youtube.com/watch?v=TedZ4JawSxY,693915,2025-12-10T00:09:50+00:00
UCLRlryMfL8ffxzrtqv0_k_w,KinoCheck.com,Trending,4910000,4049282538,8156,8,5847.0,6585.5,110.88,0.26,0.03,824.7011,ZOOTOPIA 3: Fans Discover Teaser for the Next Movie! - KinoCheck News,https://www.youtube.com/watch?v=RwMUkazrlm0,287,2025-12-10T12:04:19+00:00
UC7yRILFFJ2QZCykymr8LPwA,New Rockstars,Trending,4320000,2113767402,4001,8,118064.25,122787.0,2327.62,0.56,0.0391,489.298,Avengers Doomsday Trailer IMMINENT?! How A New Endgame Post-Credit Scene Could CONNECT EVERYTHING!,https://www.youtube.com/watch?v=NnUvInFqnCs,156916,2025-12-09T20:33:15+00:00
