channel_id,channel_name,category,subscribers,total_views,total_videos,recent_video_count,avg_recent_views,median_recent_views,avg_duration_seconds,posting_interval_days,avg_engagement_rate,view_per_subscriber,latest_video_id,latest_video_title,latest_video_url,latest_video_views,latest_video_published
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,Entertainment,457000000,105533166986,933,10,102992535.4,95633584.5,419.7,3.11,0.0211,230.93,7aE4EhHXzlA,I Paid Everyone Stuck in Traffic,https://www.youtube.com/watch?v=7aE4EhHXzlA,45392562,2025-12-26T17:00:05.000Z
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,Music,308000000,325101512876,25079,10,1340059.4,147839,195.8,0.13,0.0397,1055.52,1I70s1pTBW4,Jan Neta - Jiye Tere Hi Sahaare Lyrical | Thalapathy Vijay | Pooja Hegde | H Vinoth | Anirudh | KVN,https://www.youtube.com/watch?v=1I70s1pTBW4,593997,2025-12-30T11:15:01.000Z
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,Kids,199000000,214618764678,1853,10,941328.2,1063351.5,262.2,0.67,0.0069,1078.49,AkiiG4mVttc,Pop the Balloons to Find Bingo! 🎈👀,https://www.youtube.com/watch?v=AkiiG4mVttc,158139,2025-12-30T12:00:30.000Z
UCpEhnqL0y41EpW2TvWAHD7Q,SET India,TV,188000000,184672861959,164120,10,3892.4,1451,856.5,0.01,0.0203,982.3,kzrrMfp7ghY,Winner Of 1 Crore | Kaun Banega Crorepati S17 | Tonight At 9 PM | Only On SET & SONY LIV,https://www.youtube.com/watch?v=kzrrMfp7ghY,548,2025-12-30T18:09:45.000Z
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,Kids,138000000,121575067787,1512,10,617370.1,525361,1024.7,1.12,0.0047,880.98,5hGkNcumXlg,Kids Learn Kindness at Christmas | Holiday Stories Collection,https://www.youtube.com/watch?v=5hGkNcumXlg,28661,2025-12-30T13:30:15.000Z
